uniqueSKU,customerId,itemSkuNumber
11010292,1,1010292
11010293,1,1010293
1101030,1,101030
11010302,1,1010302
11010303,1,1010303
1101031,1,101031
11010312,1,1010312
11010313,1,1010313
1101032,1,101032
11010322,1,1010322
11010323,1,1010323
1101033,1,101033
11010332,1,1010332
11010333,1,1010333
1101034,1,101034
11010342,1,1010342
11010343,1,1010343
1101035,1,101035
11010352,1,1010352
11010353,1,1010353
1101036,1,101036
11010362,1,1010362
11010363,1,1010363
1101037,1,101037
11010372,1,1010372
11010373,1,1010373
1101038,1,101038
11010382,1,1010382
11010383,1,1010383
1101039,1,101039
11010392,1,1010392
11010393,1,1010393
1101040,1,101040
11010402,1,1010402
11010403,1,1010403
1101041,1,101041
11010412,1,1010412
11010413,1,1010413
1101042,1,101042
11010422,1,1010422
11010423,1,1010423
1101043,1,101043
11010432,1,1010432
11010433,1,1010433
1101044,1,101044
11010442,1,1010442
11010443,1,1010443
1101045,1,101045
11010452,1,1010452
11010453,1,1010453
1101046,1,101046
11010462,1,1010462
11010463,1,1010463
1101047,1,101047
11010472,1,1010472
11010473,1,1010473
1101048,1,101048
11010482,1,1010482
11010483,1,1010483
1101049,1,101049
11010492,1,1010492
11010493,1,1010493
1101050,1,101050
11010502,1,1010502
11010503,1,1010503
1101051,1,101051
11010512,1,1010512
11010513,1,1010513
1101052,1,101052
11010522,1,1010522
11010523,1,1010523
1101053,1,101053
11010532,1,1010532
11010533,1,1010533
1101054,1,101054
11010542,1,1010542
11010543,1,1010543
1101055,1,101055
11010552,1,1010552
11010553,1,1010553
1101056,1,101056
11010562,1,1010562
11010563,1,1010563
1101057,1,101057
11010572,1,1010572
11010573,1,1010573
1101058,1,101058
11010582,1,1010582
11010583,1,1010583
1101059,1,101059
11010592,1,1010592
11010593,1,1010593
1101060,1,101060
11010602,1,1010602
11010603,1,1010603
1101061,1,101061
11010612,1,1010612
11010613,1,1010613
1101062,1,101062
11010622,1,1010622
11010623,1,1010623
1101063,1,101063
11010632,1,1010632
11010633,1,1010633
1101064,1,101064
11010642,1,1010642
11010643,1,1010643
1101065,1,101065
11010652,1,1010652
11010653,1,1010653
1101066,1,101066
11010662,1,1010662
11010663,1,1010663
1101067,1,101067
11010672,1,1010672
11010673,1,1010673
1101068,1,101068
11010682,1,1010682
11010683,1,1010683
1101069,1,101069
11010692,1,1010692
